,stem,image_path,mask_coral_path,coral_coverage,source,split
810,20220914_AnB_CB14 (224),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (224).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (224)_binary.png,0.101,SEAFLOWER_BOLIVAR,train
811,20220914_AnB_CB14 (23),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (23).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (23)_binary.png,0.149,SEAFLOWER_BOLIVAR,train
812,20220914_AnB_CB14 (234),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (234).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (234)_binary.png,0.032,SEAFLOWER_BOLIVAR,train
813,20220914_AnB_CB14 (242),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (242).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (242)_binary.png,0.035,SEAFLOWER_BOLIVAR,train
814,20220914_AnB_CB14 (243),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (243).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (243)_binary.png,0.114,SEAFLOWER_BOLIVAR,train
815,20220914_AnB_CB14 (249),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (249).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (249)_binary.png,0.254,SEAFLOWER_BOLIVAR,train
816,20220914_AnB_CB14 (250),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (250).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (250)_binary.png,0.262,SEAFLOWER_BOLIVAR,train
817,20220914_AnB_CB14 (259),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (259).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (259)_binary.png,0.119,SEAFLOWER_BOLIVAR,train
818,20220914_AnB_CB14 (26),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (26).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (26)_binary.png,0.343,SEAFLOWER_BOLIVAR,train
819,20220914_AnB_CB14 (28),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (28).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (28)_binary.png,0.101,SEAFLOWER_BOLIVAR,train
820,20220914_AnB_CB14 (3),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (3).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (3)_binary.png,0.143,SEAFLOWER_BOLIVAR,train
821,20220914_AnB_CB14 (31),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (31).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (31)_binary.png,0.086,SEAFLOWER_BOLIVAR,train
822,20220914_AnB_CB14 (32),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (32).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (32)_binary.png,0.556,SEAFLOWER_BOLIVAR,train
823,20220914_AnB_CB14 (321),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (321).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (321)_binary.png,0.446,SEAFLOWER_BOLIVAR,train
824,20220914_AnB_CB14 (33),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (33).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (33)_binary.png,0.496,SEAFLOWER_BOLIVAR,train
825,20220914_AnB_CB14 (36),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (36).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (36)_binary.png,0.356,SEAFLOWER_BOLIVAR,train
826,20220914_AnB_CB14 (40),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (40).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (40)_binary.png,0.461,SEAFLOWER_BOLIVAR,train
827,20220914_AnB_CB14 (42),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (42).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (42)_binary.png,0.365,SEAFLOWER_BOLIVAR,train
828,20220914_AnB_CB14 (49),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (49).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (49)_binary.png,0.063,SEAFLOWER_BOLIVAR,train
829,20220914_AnB_CB14 (51),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (51).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (51)_binary.png,0.091,SEAFLOWER_BOLIVAR,train
830,20220914_AnB_CB14 (57),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (57).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (57)_binary.png,0.371,SEAFLOWER_BOLIVAR,train
831,20220914_AnB_CB14 (61),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (61).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (61)_binary.png,0.689,SEAFLOWER_BOLIVAR,train
832,20220914_AnB_CB14 (62),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (62).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (62)_binary.png,0.101,SEAFLOWER_BOLIVAR,train
833,20220914_AnB_CB14 (66),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (66).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (66)_binary.png,0.196,SEAFLOWER_BOLIVAR,train
834,20220914_AnB_CB14 (69),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (69).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (69)_binary.png,0.506,SEAFLOWER_BOLIVAR,train
835,20220914_AnB_CB14 (71),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (71).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (71)_binary.png,0.044,SEAFLOWER_BOLIVAR,train
836,20220914_AnB_CB14 (75),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (75).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (75)_binary.png,0.272,SEAFLOWER_BOLIVAR,train
837,20220914_AnB_CB14 (77),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (77).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (77)_binary.png,0.404,SEAFLOWER_BOLIVAR,train
838,20220914_AnB_CB14 (81),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (81).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (81)_binary.png,0.383,SEAFLOWER_BOLIVAR,train
839,20220914_AnB_CB14 (83),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (83).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (83)_binary.png,0.139,SEAFLOWER_BOLIVAR,train
840,20220914_AnB_CB14 (85),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (85).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (85)_binary.png,0.067,SEAFLOWER_BOLIVAR,train
841,20220914_AnB_CB14 (87),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (87).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (87)_binary.png,0.864,SEAFLOWER_BOLIVAR,train
842,20220914_AnB_CB14 (91),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (91).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (91)_binary.png,0.464,SEAFLOWER_BOLIVAR,train
843,20220914_AnB_CB14 (92),data\benthic_datasets\SEAFLOWER_BOLIVAR\images\20220914_AnB_CB14 (92).JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\20220914_AnB_CB14 (92)_binary.png,0.293,SEAFLOWER_BOLIVAR,train
844,P9150320,data\benthic_datasets\SEAFLOWER_BOLIVAR\images\P9150320.JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\P9150320_binary.png,0.102,SEAFLOWER_BOLIVAR,train
845,P9150331,data\benthic_datasets\SEAFLOWER_BOLIVAR\images\P9150331.JPG,data\benthic_datasets\SEAFLOWER_BOLIVAR\masks_coral\P9150331_binary.png,0.217,SEAFLOWER_BOLIVAR,train
846,E0_T1_C10_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C10_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C10_Corr_30sep22_binary.png,0.129,SEAFLOWER_COURTOWN,test
847,E0_T1_C11_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C11_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C11_Corr_30sep22_binary.png,0.099,SEAFLOWER_COURTOWN,test
848,E0_T1_C12_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C12_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C12_Corr_30sep22_binary.png,0.26,SEAFLOWER_COURTOWN,test
849,E0_T1_C13_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C13_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C13_Corr_30sep22_binary.png,0.098,SEAFLOWER_COURTOWN,test
850,E0_T1_C1_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C1_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C1_Corr_30sep22_binary.png,0.019,SEAFLOWER_COURTOWN,test
851,E0_T1_C2_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C2_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C2_Corr_30sep22_binary.png,0.07,SEAFLOWER_COURTOWN,test
852,E0_T1_C3_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C3_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C3_Corr_30sep22_binary.png,0.088,SEAFLOWER_COURTOWN,test
853,E0_T1_C4_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C4_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C4_Corr_30sep22_binary.png,0.064,SEAFLOWER_COURTOWN,test
854,E0_T1_C5_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C5_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C5_Corr_30sep22_binary.png,0.201,SEAFLOWER_COURTOWN,test
855,E0_T1_C6_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C6_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C6_Corr_30sep22_binary.png,0.317,SEAFLOWER_COURTOWN,test
856,E0_T1_C7_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C7_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C7_Corr_30sep22_binary.png,0.499,SEAFLOWER_COURTOWN,test
857,E0_T1_C8_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C8_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C8_Corr_30sep22_binary.png,0.362,SEAFLOWER_COURTOWN,test
858,E0_T1_C9_Corr_30sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E0_T1_C9_Corr_30sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E0_T1_C9_Corr_30sep22_binary.png,0.527,SEAFLOWER_COURTOWN,test
859,E10_T2_C10_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C10_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C10_Corr_28sep22_binary.png,0.124,SEAFLOWER_COURTOWN,test
860,E10_T2_C11_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C11_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C11_Corr_28sep22_binary.png,0.076,SEAFLOWER_COURTOWN,test
861,E10_T2_C1_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C1_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C1_Corr_28sep22_binary.png,0.186,SEAFLOWER_COURTOWN,test
862,E10_T2_C2_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C2_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C2_Corr_28sep22_binary.png,0.201,SEAFLOWER_COURTOWN,test
863,E10_T2_C3_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C3_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C3_Corr_28sep22_binary.png,0.081,SEAFLOWER_COURTOWN,test
864,E10_T2_C5_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C5_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C5_Corr_28sep22_binary.png,0.124,SEAFLOWER_COURTOWN,test
865,E10_T2_C6_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C6_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C6_Corr_28sep22_binary.png,0.03,SEAFLOWER_COURTOWN,test
866,E10_T2_C7_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C7_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C7_Corr_28sep22_binary.png,0.112,SEAFLOWER_COURTOWN,test
867,E10_T2_C8_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C8_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C8_Corr_28sep22_binary.png,0.069,SEAFLOWER_COURTOWN,test
868,E10_T2_C9_Corr_28sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E10_T2_C9_Corr_28sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E10_T2_C9_Corr_28sep22_binary.png,0.163,SEAFLOWER_COURTOWN,test
869,E11_T2_C10_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C10_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C10_Corr_26sep22_binary.png,0.208,SEAFLOWER_COURTOWN,test
870,E11_T2_C11_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C11_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C11_Corr_26sep22_binary.png,0.233,SEAFLOWER_COURTOWN,test
871,E11_T2_C12_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C12_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C12_Corr_26sep22_binary.png,0.242,SEAFLOWER_COURTOWN,test
872,E11_T2_C13_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C13_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C13_Corr_26sep22_binary.png,0.263,SEAFLOWER_COURTOWN,test
873,E11_T2_C1_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C1_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C1_Corr_26sep22_binary.png,0.479,SEAFLOWER_COURTOWN,test
874,E11_T2_C2_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C2_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C2_Corr_26sep22_binary.png,0.226,SEAFLOWER_COURTOWN,test
875,E11_T2_C3_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C3_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C3_Corr_26sep22_binary.png,0.275,SEAFLOWER_COURTOWN,test
876,E11_T2_C4_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C4_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C4_Corr_26sep22_binary.png,0.317,SEAFLOWER_COURTOWN,test
877,E11_T2_C5_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C5_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C5_Corr_26sep22_binary.png,0.308,SEAFLOWER_COURTOWN,test
878,E11_T2_C6_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C6_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C6_Corr_26sep22_binary.png,0.088,SEAFLOWER_COURTOWN,test
879,E11_T2_C7_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C7_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C7_Corr_26sep22_binary.png,0.418,SEAFLOWER_COURTOWN,test
880,E11_T2_C8_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C8_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C8_Corr_26sep22_binary.png,0.561,SEAFLOWER_COURTOWN,test
881,E11_T2_C9_Corr_26sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E11_T2_C9_Corr_26sep22.jpg,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E11_T2_C9_Corr_26sep22_binary.png,0.344,SEAFLOWER_COURTOWN,test
882,E12_T2_C10_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C10_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C10_Corr_22sep22_binary.png,0.093,SEAFLOWER_COURTOWN,test
883,E12_T2_C11_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C11_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C11_Corr_22sep22_binary.png,0.051,SEAFLOWER_COURTOWN,test
884,E12_T2_C12_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C12_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C12_Corr_22sep22_binary.png,0.037,SEAFLOWER_COURTOWN,test
885,E12_T2_C13_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C13_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C13_Corr_22sep22_binary.png,0.114,SEAFLOWER_COURTOWN,test
886,E12_T2_C14_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C14_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C14_Corr_22sep22_binary.png,0.186,SEAFLOWER_COURTOWN,test
887,E12_T2_C15_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C15_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C15_Corr_22sep22_binary.png,0.192,SEAFLOWER_COURTOWN,test
888,E12_T2_C16_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C16_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C16_Corr_22sep22_binary.png,0.14,SEAFLOWER_COURTOWN,test
889,E12_T2_C1_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C1_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C1_Corr_22sep22_binary.png,0.096,SEAFLOWER_COURTOWN,test
890,E12_T2_C2_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C2_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C2_Corr_22sep22_binary.png,0.031,SEAFLOWER_COURTOWN,test
891,E12_T2_C3_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C3_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C3_Corr_22sep22_binary.png,0.346,SEAFLOWER_COURTOWN,test
892,E12_T2_C4_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C4_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C4_Corr_22sep22_binary.png,0.277,SEAFLOWER_COURTOWN,test
893,E12_T2_C5_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C5_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C5_Corr_22sep22_binary.png,0.242,SEAFLOWER_COURTOWN,test
894,E12_T2_C6_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C6_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C6_Corr_22sep22_binary.png,0.085,SEAFLOWER_COURTOWN,test
895,E12_T2_C8_Corr_22sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E12_T2_C8_Corr_22sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E12_T2_C8_Corr_22sep22_binary.png,0.066,SEAFLOWER_COURTOWN,test
896,E13_T3_C10_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C10_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C10_Corr_24sep22_binary.png,0.034,SEAFLOWER_COURTOWN,test
897,E13_T3_C11_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C11_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C11_Corr_24sep22_binary.png,0.109,SEAFLOWER_COURTOWN,test
898,E13_T3_C12_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C12_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C12_Corr_24sep22_binary.png,0.059,SEAFLOWER_COURTOWN,test
899,E13_T3_C13_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C13_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C13_Corr_24sep22_binary.png,0.099,SEAFLOWER_COURTOWN,test
900,E13_T3_C14_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C14_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C14_Corr_24sep22_binary.png,0.069,SEAFLOWER_COURTOWN,test
901,E13_T3_C15_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C15_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C15_Corr_24sep22_binary.png,0.243,SEAFLOWER_COURTOWN,test
902,E13_T3_C16_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C16_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C16_Corr_24sep22_binary.png,0.041,SEAFLOWER_COURTOWN,test
903,E13_T3_C1_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C1_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C1_Corr_24sep22_binary.png,0.143,SEAFLOWER_COURTOWN,test
904,E13_T3_C2_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C2_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C2_Corr_24sep22_binary.png,0.137,SEAFLOWER_COURTOWN,test
905,E13_T3_C3_Corr_24sep22,data\benthic_datasets\SEAFLOWER_COURTOWN\images\E13_T3_C3_Corr_24sep22.JPG,data\benthic_datasets\SEAFLOWER_COURTOWN\masks_coral\E13_T3_C3_Corr_24sep22_binary.png,0.084,SEAFLOWER_COURTOWN,test
